sbp,group
120,Control Group
100,Control Group
124,Control Group
110,Control Group
116,Control Group
133,Control Group
116,Control Group
126,Control Group
122,Control Group
117,Control Group
117,Control Group
121,Control Group
132,Control Group
92,Control Group
134,Control Group
109,Control Group
115,Control Group
123,Control Group
98,Control Group
131,Control Group
111,Safflower Treatment Group
99,Safflower Treatment Group
124,Safflower Treatment Group
102,Safflower Treatment Group
96,Safflower Treatment Group
119,Safflower Treatment Group
103,Safflower Treatment Group
122,Safflower Treatment Group
126,Safflower Treatment Group
110,Safflower Treatment Group
107,Safflower Treatment Group
108,Safflower Treatment Group
107,Safflower Treatment Group
129,Safflower Treatment Group
93,Safflower Treatment Group
127,Safflower Treatment Group
99,Safflower Treatment Group
119,Safflower Treatment Group
109,Safflower Treatment Group
96,Safflower Treatment Group
