housenum,acre,acregroup,bedrooms,bikescore,distance,distgroup,fullbaths,halfbaths,rooms,price2007,price2011,price2014
1,.28,> 1/4 acre,3,35,2.4000001,Farther Away,1,0,5,203.5,181.10001,210.729
2,.28999999,> 1/4 acre,3,44,1.97,Farther Away,1,0,5,227.5,195.39999,204.17101
3,.36000001,> 1/4 acre,3,66,.043371212,Closer,2,1,7,349,328.5,338.66199
4,.25999999,> 1/4 acre,3,61,.55473483,Farther Away,1,1,6,265.5,243.10001,276.25
5,.31,> 1/4 acre,4,53,.59659094,Farther Away,1,0,6,260,223.39999,169.173
6,.31,> 1/4 acre,3,36,1.88,Farther Away,1,1,6,240,229.7,211.487
7,.079999998,<= 1/4 acre,3,97,.44488636,Closer,1,0,6,264.5,281.29999,311.45599
8,.11,<= 1/4 acre,4,95,.44488636,Closer,1,1,9,331.5,357.60001,377.85699
9,.31,> 1/4 acre,5,38,1.9299999,Farther Away,2,0,7,292.5,245.7,227.681
10,.27000001,> 1/4 acre,3,30,2.8730302,Farther Away,1,0,5,217.5,200.89999,224.366
11,.27000001,> 1/4 acre,3,46,.75662881,Farther Away,2,0,5,236.5,203.89999,218.785
12,.50999999,> 1/4 acre,3,38,1.41,Farther Away,1,0,7,269,261.79999,269.62
13,.23,<= 1/4 acre,4,79,1.421553,Farther Away,2,0,8,410,410.20001,447.84201
14,.11,<= 1/4 acre,3,85,.24678031,Closer,1,1,6,390.5,372.60001,386.44601
15,.15000001,<= 1/4 acre,4,74,.39602274,Closer,2,0,9,491,425.5,528.11401
16,.23,<= 1/4 acre,3,36,1.5672349,Farther Away,1,0,6,223.5,203.3,221.22
17,.23,<= 1/4 acre,5,37,1.6767045,Farther Away,2,0,7,280,293.60001,320.20599
18,.23,<= 1/4 acre,3,36,1.5986743,Farther Away,1,0,5,207.5,190.39999,179.487
19,.31,<= 1/4 acre,4,79,.1030303,Closer,1,1,8,294,236.39999,243.63901
20,.07,<= 1/4 acre,4,94,.33750001,Closer,2,0,8,277.5,310.29999,325.66599
21,.23,<= 1/4 acre,4,54,1,Farther Away,2,0,7,244,264.89999,282.76501
22,.17,<= 1/4 acre,2,70,.042045455,Closer,1,0,5,212,213.10001,198.686
23,.33000001,> 1/4 acre,3,29,2.1500001,Farther Away,1,0,5,190,171.2,168.761
24,.33000001,> 1/4 acre,3,32,2.6214015,Farther Away,1,1,6,208,194.10001,200.871
25,.31,> 1/4 acre,3,33,2.5797348,Farther Away,2,0,6,234,223,237.20599
26,.34,> 1/4 acre,3,31,2.7,Farther Away,1,0,5,215,200.60001,205.77
27,.13,<= 1/4 acre,4,83,.21673864,Closer,1,0,8,269.5,248.60001,287.48901
28,.23,<= 1/4 acre,3,28,1.91,Farther Away,1,0,6,255,214.7,223.067
29,.20999999,<= 1/4 acre,4,46,.70852274,Farther Away,1,0,7,245.5,209.39999,237.59399
30,.14,<= 1/4 acre,4,32,2.0117424,Farther Away,2,0,6,246,247.3,275.21799
31,.20999999,<= 1/4 acre,4,27,1.9916667,Farther Away,2,0,8,242,235.7,280.28299
32,.14,<= 1/4 acre,3,88,.89204544,Farther Away,1,0,8,279,213.8,237.789
33,.25999999,> 1/4 acre,3,38,.87537879,Farther Away,1,0,5,207,194.2,191.694
34,.56,> 1/4 acre,3,87,.32954547,Closer,2,0,8,378.5,377.79999,365.50601
35,.11,<= 1/4 acre,4,74,.32651514,Closer,2,0,7,443,432.20001,474.245
36,.31999999,> 1/4 acre,3,48,.70435607,Farther Away,2,0,6,248.5,260.5,259.48001
37,.5,> 1/4 acre,3,44,.86685604,Farther Away,2,0,7,303.5,265.5,326.89099
38,.34,> 1/4 acre,4,77,.20473485,Closer,2,0,7,301,230.5,228.82899
39,.19,<= 1/4 acre,4,75,.13882576,Closer,2,0,7,423.5,391.60001,426.5
40,.11,<= 1/4 acre,3,49,1.1454545,Farther Away,1,0,6,343,354.79999,350.76599
41,.28,> 1/4 acre,4,79,.17954546,Closer,2,0,9,276,284.70001,279.18701
42,.1,<= 1/4 acre,3,33,2.28,Farther Away,1,0,6,197.5,184.10001,214.737
43,.1,<= 1/4 acre,2,33,2.28,Farther Away,1,0,5,216,180.2,212.959
44,.1,<= 1/4 acre,2,33,.42196971,Closer,1,1,4,290.5,236.89999,301.366
45,.1,<= 1/4 acre,2,33,2.28,Farther Away,1,0,4,141.5,136.89999,144.366
46,.1,<= 1/4 acre,3,33,2.28,Farther Away,2,0,6,248,269,318.34799
47,.1,<= 1/4 acre,1,32,2.28,Farther Away,1,0,4,170,146.8,185.14101
48,.1,<= 1/4 acre,1,32,2.28,Farther Away,1,0,4,152.5,133.8,132.13499
49,.1,<= 1/4 acre,2,32,2.28,Farther Away,1,0,5,179.5,190.5,200.21899
50,.25999999,> 1/4 acre,5,49,1.21,Farther Away,3,0,8,431.5,441.10001,525.112
51,.34999999,> 1/4 acre,3,25,2.53,Farther Away,1,1,5,209,200,210.701
52,.46000001,> 1/4 acre,3,26,3.48,Farther Away,1,0,5,198,170.89999,185.508
53,.43000001,> 1/4 acre,4,21,2.4000001,Farther Away,1,0,6,212,198.10001,209.94501
54,.28,> 1/4 acre,1,97,.12689394,Closer,1,0,4,166,162.60001,142.702
55,.55000001,> 1/4 acre,2,43,.73219699,Farther Away,1,1,7,333,313.89999,367.384
56,.28,> 1/4 acre,3,43,.93503785,Farther Away,1,0,5,215.5,201,201.44299
57,.55000001,> 1/4 acre,4,75,.39053029,Closer,1,1,9,390,339.39999,360.87
58,.18000001,<= 1/4 acre,3,83,.28579545,Closer,1,0,8,302,286.29999,313.64001
59,.25999999,> 1/4 acre,3,83,.20359848,Closer,2,0,7,250,222.60001,270.62201
60,.25,<= 1/4 acre,2,60,.50246215,Farther Away,1,1,6,257,230.89999,258.091
61,.22,<= 1/4 acre,4,85,.0967803,Closer,1,1,8,326,305.79999,357.30301
62,.31,> 1/4 acre,2,85,.11534091,Closer,1,0,5,275.5,251.60001,289.94601
63,.25999999,> 1/4 acre,3,69,.38598484,Closer,1,0,7,257,251,296.142
64,.19,<= 1/4 acre,3,55,.75625002,Farther Away,1,1,6,315,297.20001,331.38699
65,.14,<= 1/4 acre,4,69,.63749999,Farther Away,1,0,7,264,359.39999,389.242
66,.23999999,<= 1/4 acre,6,71,.11136363,Closer,3,0,11,501,443.29999,495.21799
67,.37,> 1/4 acre,3,76,.30056819,Closer,1,0,7,241.5,225.3,246.02
68,.28,> 1/4 acre,3,39,1.58,Farther Away,1,0,7,233,210,212.892
69,.23,<= 1/4 acre,3,69,.16609849,Closer,1,1,8,435.5,378,384.14001
70,.16,<= 1/4 acre,3,87,.19204545,Closer,1,0,7,294.5,290,295.18201
71,.2,<= 1/4 acre,3,83,.35530302,Closer,2,1,6,475,439.39999,520.14697
72,.12,<= 1/4 acre,3,70,.1657197,Closer,1,0,6,306,295.39999,284.48401
73,.33000001,> 1/4 acre,3,51,1.72,Farther Away,2,0,6,275,268.89999,228.565
74,.33000001,> 1/4 acre,3,55,.91136366,Farther Away,2,0,8,357,357.29999,447.26999
75,.36000001,> 1/4 acre,3,53,.7852273,Farther Away,2,0,7,288.5,271.10001,286.16299
76,.38,> 1/4 acre,3,57,.98598486,Farther Away,2,0,6,243,201.60001,222.864
77,.18000001,<= 1/4 acre,4,70,.35719696,Closer,2,0,7,237.5,274.89999,310.01801
78,.38999999,> 1/4 acre,3,37,1.8717803,Farther Away,1,1,6,224.5,236.10001,211.72501
79,.46000001,> 1/4 acre,3,35,2.8900001,Farther Away,1,0,7,263,222.3,266.12399
80,.27000001,> 1/4 acre,3,32,2.9428031,Farther Away,1,0,6,221.5,201.7,214.289
81,.50999999,> 1/4 acre,3,41,1.5899621,Farther Away,1,0,5,211,201.2,211.104
82,.54000002,> 1/4 acre,2,36,1.9399621,Farther Away,1,0,4,191,198.7,216.992
83,.34999999,> 1/4 acre,3,35,2.5770833,Farther Away,1,1,7,232,204.3,202.485
84,.22,<= 1/4 acre,4,84,.2001894,Closer,1,1,9,297.5,290.60001,429.36801
85,.28,> 1/4 acre,3,34,1.75,Farther Away,1,0,5,207,199.3,208.703
86,.18000001,<= 1/4 acre,4,77,.15435606,Closer,1,0,7,282,238,249.41299
87,.17,<= 1/4 acre,4,60,.38598484,Closer,2,0,7,281,258.29999,332.67401
88,.15000001,<= 1/4 acre,5,92,.38181818,Closer,1,0,8,332.5,319.60001,356.26501
89,.34999999,> 1/4 acre,5,73,.62443179,Farther Away,3,1,14,695,509.10001,513.09601
90,.25,<= 1/4 acre,4,37,1.8910606,Farther Away,2,0,7,249,215.5,236.498
91,.43000001,> 1/4 acre,4,37,1.8872727,Farther Away,2,0,7,274,267.60001,295.772
92,.090000004,<= 1/4 acre,2,95,.41647726,Closer,2,0,5,411,383.10001,421.45999
93,.050000001,<= 1/4 acre,2,97,.038825758,Closer,2,0,4,253,200.60001,233.02299
94,.22,<= 1/4 acre,3,73,.14450757,Closer,1,1,5,251.5,238.8,279.814
95,.25,<= 1/4 acre,4,83,.1532197,Closer,4,0,7,355.5,357,347.40799
96,.12,<= 1/4 acre,3,71,.25871211,Closer,1,0,6,264.5,223.39999,267.29001
97,.25999999,> 1/4 acre,6,89,.45814395,Closer,3,0,12,583,659.5,879.328
98,.23,<= 1/4 acre,2,18,3.9767804,Farther Away,2,0,6,196.5,214.7,191.407
99,.19,<= 1/4 acre,3,90,.67481059,Farther Away,2,1,9,447,383.70001,467.86099
100,.13,<= 1/4 acre,3,73,.9505682,Farther Away,2,0,8,282,317,301.94
101,.46000001,> 1/4 acre,4,60,.76420456,Farther Away,2,1,9,449.5,478.10001,534.86499
102,.40000001,> 1/4 acre,4,78,.12518939,Closer,2,0,8,286.5,256.89999,331.84
103,.2,<= 1/4 acre,4,80,1.0702652,Farther Away,1,0,8,287.5,249.89999,320.80499
104,.31,> 1/4 acre,2,47,.72329545,Farther Away,1,0,5,237.5,223.8,176.502
